group_id,action_suggestion,path,keep_path,sha256,size,size_readable,width,height,mtime
1,KEEP,E:\328桌面\WechatIMG1614.jpeg,E:\328桌面\WechatIMG1614.jpeg,086451b3343e96f39f863d9c195db54f85aecceae25571669011e33e682d6f31,3547189,3.38 MB,,,2022-02-24 06:30:56
1,DELETE_CANDIDATE,E:\叶婷手机照片250602操作\2022\02\2022_02_24_06_30_IMG_2858.JPG,E:\328桌面\WechatIMG1614.jpeg,086451b3343e96f39f863d9c195db54f85aecceae25571669011e33e682d6f31,3547189,3.38 MB,,,2022-02-24 06:30:44
2,KEEP,E:\328桌面\._叶婷作品集-2022_11-.jpg,E:\328桌面\._叶婷作品集-2022_11-.jpg,f6f37d70bfe85500d584ce02ee61a55ec6d196e5578e32931189dfd401d28284,4096,4.00 KB,,,2023-10-21 16:23:58
2,DELETE_CANDIDATE,E:\328桌面\._叶婷作品集-2022_13.jpg,E:\328桌面\._叶婷作品集-2022_11-.jpg,f6f37d70bfe85500d584ce02ee61a55ec6d196e5578e32931189dfd401d28284,4096,4.00 KB,,,2023-10-21 16:23:37
2,DELETE_CANDIDATE,E:\328桌面\._叶婷作品集.jpg,E:\328桌面\._叶婷作品集-2022_11-.jpg,f6f37d70bfe85500d584ce02ee61a55ec6d196e5578e32931189dfd401d28284,4096,4.00 KB,,,2023-10-21 16:23:38
3,KEEP,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:12
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_12.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:13
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_14.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:12
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_15.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:12
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_16.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:12
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_17.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:12
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_18.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:13
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_2.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:12
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_3.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:13
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_4.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:12
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_5.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:12
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_6.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:12
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_7.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:12
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_8.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:13
3,DELETE_CANDIDATE,E:\328桌面\作品集\._叶婷作品集-2022_9.jpg,E:\328桌面\作品集\._叶婷作品集-2022_10.jpg,55c819c50cbed3523fa0d5a2a2984b037e9e40a59ecceb5a1187c2ad371b7548,4096,4.00 KB,,,2023-10-21 16:23:13
4,KEEP,E:\328桌面\安安成长照片\._IMG_0513.heic,E:\328桌面\安安成长照片\._IMG_0513.heic,045929f674b2be64cee5ce53c3fda3c23b39ab87b6f0ec2698c22bbe5e2eac30,4096,4.00 KB,,,2023-10-21 16:23:13
4,DELETE_CANDIDATE,E:\328桌面\安安成长照片\._IMG_1308.heic,E:\328桌面\安安成长照片\._IMG_0513.heic,045929f674b2be64cee5ce53c3fda3c23b39ab87b6f0ec2698c22bbe5e2eac30,4096,4.00 KB,,,2023-10-21 16:23:14
4,DELETE_CANDIDATE,E:\328桌面\安安成长照片\._IMG_1552.heic,E:\328桌面\安安成长照片\._IMG_0513.heic,045929f674b2be64cee5ce53c3fda3c23b39ab87b6f0ec2698c22bbe5e2eac30,4096,4.00 KB,,,2023-10-21 16:23:14
